"X1","X2","X3"
279,892,893
279,892,893
285,898,899
286,899,900
287,900,NA
290,902,903
290,902,903
290,902,903
290,902,903
290,902,903
292,904,905
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
293,905,906
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
294,906,907
